"Orders 
Rollover IRA *5513 
as of 06/08/2026 at 11:11:55 AM"
GLXY,Buy,100,Limit at $29.75,Filled at $29.54,100 / 100,30.36,5.22,20.76,30.34,--,30.38,Day,None,FDLM,10:47:13 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0QPGQ,36317J209,GALAXY DIGITAL INC. CL A,--
DXCM,Sell,200,Market,Filled at $77.6353,200 / 200,77.15,4.29,5.89,77.12,--,77.18,Day,None,FDLM,10:44:17 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0VNWS,252131107,DEXCOM INC,--
MRVL,Sell,40,Market,Filled at $297.65,40 / 40,298.7002,35.2302,13.37,298.7,--,298.86,Day,None,FDLM,10:42:36 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0ZP4V,573874104,MARVELL TECHNOLOGY INC COM,--
FWRD,Sell,200,Stop loss at $10.90,Filled at $10.86,200 / 200,10.97,0.61,5.89,10.96,--,10.98,Day,None,"G1 EXECUTION SERVICES, LLC",10:38:37 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0ZMPK,34986A104,FORWARD AIR CORP COM,--
OSCR,Sell,100,Market,Filled at $26.15,100 / 100,26.05,1.54,6.28,26.03,--,26.07,Day,None,FDLM,10:34:12 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0ZL2P,687793109,OSCAR HEALTH INC CL A,--
MRVL,Buy,20,Limit at $295.00,Filled at $294.615,20 / 20,298.7002,35.2302,13.37,298.7,--,298.86,Day,None,FDLM,10:27:58 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0SGH3,573874104,MARVELL TECHNOLOGY INC COM,--
MRVL,Buy,20,Limit at $292.00,Filled at $292.00,20 / 20,298.7002,35.2302,13.37,298.7,--,298.86,Day,None,FDLM,10:26:01 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0SFQP,573874104,MARVELL TECHNOLOGY INC COM,--
MRVL,Buy,20,Limit at $292.00,Filled at $291.37,20 / 20,298.7002,35.2302,13.37,298.7,--,298.86,Day,None,FDLM,10:25:23 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0R2ZQ,573874104,MARVELL TECHNOLOGY INC COM,--
FWRD,Buy,100,Limit at $11.15,Filled at $11.065,100 / 100,10.97,0.61,5.89,10.96,--,10.98,Day,None,FDLM,10:22:46 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0T2GS,34986A104,FORWARD AIR CORP COM,--
FWRD,Buy,100,Limit at $11.15,Filled at $11.065,100 / 100,10.97,0.61,5.89,10.96,--,10.98,Day,None,FDLM,10:22:01 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0Y2XJ,34986A104,FORWARD AIR CORP COM,--
GLXY,Buy,100,Limit at $28.75,Filled at $28.455,100 / 100,30.36,5.22,20.76,30.34,--,30.38,Day,None,FDLM,10:18:31 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0RP4Y,36317J209,GALAXY DIGITAL INC. CL A,--
DXCM,Buy,100,Limit at $78.50,Filled at $78.2499,100 / 100,77.15,4.29,5.89,77.12,--,77.18,Day,None,FDLM,10:17:05 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0QBCW,252131107,DEXCOM INC,--
DXCM,Buy,100,Limit at $77.50,Filled at $77.2699,100 / 100,77.15,4.29,5.89,77.12,--,77.18,Day,None,FDLM,10:08:54 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0FH35,252131107,DEXCOM INC,--
OSCR,Sell,400,Trailing Stop Loss at $0.40 Based on Last,Filled at $26.31,400 / 400,26.05,1.54,6.28,26.03,--,26.07,Day,None,FDLM,10:07:07 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,$0.40,F08CKXVT,687793109,OSCAR HEALTH INC CL A,--
OSCR,Buy,100,Limit at $27.00,Filled at $26.62,100 / 100,26.05,1.54,6.28,26.03,--,26.07,Day,None,FDLM,10:03:45 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0D22Y,687793109,OSCAR HEALTH INC CL A,--
OSCR,Buy,200,Limit at $27.00,Filled at $26.575,200 / 200,26.05,1.54,6.28,26.03,--,26.07,Day,None,FDLM,10:02:12 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0LRCB,687793109,OSCAR HEALTH INC CL A,--
OSCR,Buy,100,Limit at $26.30,Filled at $26.12,100 / 100,26.05,1.54,6.28,26.03,--,26.07,Day,None,FDLM,9:56:05 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0KZJ9,687793109,OSCAR HEALTH INC CL A,--
OSCR,Buy,100,Limit at $26.25,Filled at $26.095,100 / 100,26.05,1.54,6.28,26.03,--,26.07,Day,None,FDLM,9:54:36 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0K8RB,687793109,OSCAR HEALTH INC CL A,--

Disclosure
"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. 
The spreadsheet is provided for informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a recommendation for any security 
or digital asset by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was exported and is subject to change. 
It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting purposes. 
For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.
 
Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National Financial Services LLC (NFS). 
Both are Fidelity Investment companies and members SIPC, NYSE. Neither FBS nor NFS offer crypto as a direct investment nor provide trading or custody services for such assets."
